pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,otype_sub,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
475000,1100,lari,month,8,2019,80,,for_rent,flat,Apartments,Tbilisi,Didube-Chugureti,Didube,Samtredia st.,Eurostandard,3,2,1,3,11,new building
471346,1100,lari,month,8,2019,90,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Vera,,Newly renovated,2,1,1,2,2,new building
471289,1300,lari,month,8,2019,80,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Kobuleti st.,Newly renovated,3,2,1,,2,new building
464601,1200,lari,month,8,2019,68,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,3,2,1,2,6,new building
465207,1332,lari,month,8,2019,120,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Vera,I.Nikoladze st.,Newly renovated,2,1,1,2,4,old building
436564,1700,lari,month,8,2019,110,,for_rent,commercial_estate,Office,Tbilisi,Old Tbilisi,Mtatsminda,Rustaveli ave.,Newly renovated,4,,2,1,2,old building
272606,1250400,lari,,8,2019,474,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Newly renovated,7,5,3,6,7,new building
370530,600,lari,month,8,2019,35,,for_rent,flat,Apartments,Tbilisi,Didube-Chugureti,Didube,A.Tsereteli ave.,Newly renovated,2,1,1,,8,old building
355109,444000,lari,,8,2019,254,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Kazbegi avenue,Newly renovated,3,2,1,3,2,new building
411937,1350,lari,month,8,2019,80,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Gabashvili st.,Newly renovated,2,1,1,1,2,new building
407541,1440,lari,month,8,2019,100,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Newly renovated,3,1,2,1,4,new building
407032,6480,lari,month,8,2019,165,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,N. Ramishvili st.,Newly renovated,4,3,2,4,3,new building
329782,1080000,lari,month,8,2019,380,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,Saburtalo st.,Newly renovated,7,,2,,1,new building
407883,1200,lari,month,8,2019,40,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,1,,1,1,1,old building
408222,1920,lari,month,8,2019,140,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Vera,,Newly renovated,3,2,2,2,5,new building
385270,600,lari,month,8,2019,33,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Newly renovated,1,1,1,,4,old building
390869,850,lari,month,8,2019,50,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Gagarini st.,Newly renovated,2,1,1,1,2,new building
272924,360000,lari,,8,2019,160,,for_sale,flat,Apartments,Tbilisi,Old Tbilisi,Vera,,W/o renovation,5,4,1,2,2,old building
294948,1080,lari,month,8,2019,70,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Khvichia st.,Newly renovated,2,2,1,1,2,old building
274996,216000,lari,,8,2019,110,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,4,3,1,,1,old building
275033,261600,lari,,8,2019,170,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Saburtalo st.,Newly renovated,4,3,2,,1,old building
275002,220800,lari,,8,2019,100,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Pekini st.,Newly renovated,4,2,1,,1,old building
277012,1900,lari,month,8,2019,100,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Vera,Shio Mgvimeli st.,Newly renovated,3,2,1,1,6,new building
446640,600,lari,month,8,2019,40,,for_rent,flat,Apartments,Tbilisi,Didube-Chugureti,Didube,,Newly renovated,1,1,1,1,2,old building
365314,950,lari,month,8,2019,47,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Kekelidze st.,Newly renovated,2,1,1,1,4,old building
365316,700,lari,month,8,2019,40,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,,Newly renovated,1,1,1,,1,old building
277771,3600,lari,month,8,2019,130,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Newly renovated,3,2,2,1,13,new building
414186,3600,lari,month,8,2019,220,250,for_rent,private_house,House,Tbilisi,Vake-Saburtalo,Vake,Shrosha st.,Newly renovated,5,3,2,,,new building
419761,1200,lari,month,8,2019,80,,for_rent,commercial_estate,Office,Tbilisi,Old Tbilisi,Vera,,Newly renovated,3,,1,1,2,old building
330922,2040,lari,month,8,2019,105,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,V.Chikovani st.,Newly renovated,3,2,1,1,7,new building
406591,633600,lari,,8,2019,240,,for_sale,flat,Apartments,Tbilisi,Old Tbilisi,Vera,Kuchishvili st.,White Frame,5,4,2,2,4,new building
