pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,otype_sub,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
171846,1083028,lari,,7,2021,209,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Eurostandard,6,3,3,4,6,new building
170711,440200,lari,,7,2021,125,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Newly renovated,3,2,2,2,4,new building
213362,31,lari,,7,2021,,6000,for_sale,land,Land,Saguramo,,,,,,,,,,
249366,3100,lari,month,7,2021,136,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Bulachauri st.,Newly renovated,3,2,1,2,5,new building
290173,31000,lari,,7,2021,6,6,for_sale,commercial_estate,Restaurant,Tbilisi,Vake-Saburtalo,Digomi 9,,Newly renovated,,,,,3,new building
320819,12400,lari,month,7,2021,800,1500,for_rent,summer_house,Summer Cottage,Tbilisi,Didgori,Tskneti,,Renovated,8,5,3,3,,old building
412281,49600,lari,,7,2021,,600,for_sale,land,Land,Mtskheta,,,,,,,,,,
422603,2015000,lari,,7,2021,1100,650,for_sale,private_house,House,Mtskheta,,,,Eurostandard,16,9,6,6,,new building
592679,1085,lari,month,7,2021,50,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,2,1,1,1,5,new building
755497,930,lari,month,7,2021,41,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Bulachauri st.,Eurostandard,1,1,1,1,4,old building
868146,930,lari,month,7,2021,90,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Renovated,3,2,1,1,7,old building
797491,2880,lari,month,7,2021,160,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Kipshidze st.,Eurostandard,4,3,3,2,5,new building
934625,2406,lari,month,7,2021,130,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,Newly renovated,3,2,2,2,7,new building
925733,600,lari,month,7,2021,35,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,S.Tsintsadze st.,Renovated,1,1,1,1,3,old building
941527,2637,lari,month,7,2021,150,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,Kipshidze st.,Newly renovated,3,,2,,1,new building
1029317,576600,lari,,7,2021,,1550,for_sale,land,Land,Kazbegi,,,,,,,,,,
203567,4634,lari,month,7,2021,250,2064,for_rent,private_house,House,Poti,,,,Renovated,5,4,3,3,,old building
205366,247120,lari,,7,2021,100,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Dolidze st.,Black Frame,4,3,2,,2,new building
217550,3089,lari,month,7,2021,78,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,2,1,1,1,3,new building
1034199,2502090,lari,,7,2021,,270000,for_sale,land,Land,Gardabani,,,,,,,,,,
643798,442302,lari,,7,2021,135,,for_sale,flat,Apartments,Tbilisi,Old Tbilisi,Vera,G. Akhvlediani st.,Renovated,4,3,2,2,3,old building
982098,720,lari,month,7,2021,66,,for_rent,flat,Apartments,Tbilisi,Didube-Chugureti,Digomi,,Old renovated,3,2,2,1,11,old building
965607,37200,lari,,7,2021,,2400,for_sale,land,Land,Borjomi,,,,,,,,,,
1159051,60,lari,day,7,2021,,,for_lease_one,flat,Apartments,Batumi,,,Sheriff Khimshiashvili st.,Renovated,2,1,1,1,11,new building
1169047,251100,lari,,7,2021,96,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Mindeli st.,White Frame,3,2,2,2,6,new building
