pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,otype_sub,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
491275,1914,lari,month,5,2018,95,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,3,2,1,2,2,new building
363502,646110,lari,,5,2018,346,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Bulachauri st.,White Frame,5,3,4,,14,new building
444733,227335,lari,,5,2018,79,,for_sale,commercial_estate,Retail real estate,Tbilisi,Isani-Samgori,Navtlugi,Navtlugi I st.,Renovated,,,,,,old building
303008,118319,lari,,5,2018,42,,for_sale,flat,Apartments,Tbilisi,Old Tbilisi,Sololaki,Amagleba st.,Eurostandard,2,1,1,,2,old building
263511,1837,lari,month,5,2018,214,,for_rent,commercial_estate,Warehouse,Tbilisi,Isani-Samgori,,,Renovated,,,,,,
475619,1300,lari,month,5,2018,85,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Paliashvili st.,Newly renovated,3,2,1,,2,old building
464094,36,lari,month,5,2018,630,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,,,2,,1,new building
472624,9572,lari,month,5,2018,440,1000,for_rent,private_house,House,Tbilisi,Vake-Saburtalo,Digomi 7,,Old renovated,6,4,4,28,,new building
475000,1100,lari,month,5,2018,80,,for_rent,flat,Apartments,Tbilisi,Didube-Chugureti,Didube,Samtredia st.,Eurostandard,3,2,1,3,11,new building
380752,85430,lari,,5,2018,,1200,for_sale,land,Land,Saguramo,,,,,,,,,,
196106,81362,lari,,5,2018,,1500,for_sale,land,Land,Tsnori,,,,,,,,,,
408493,24300,lari,,5,2018,,7500,for_sale,land,Land,Bazaleti,,,,,,,,,,
316004,Contract price,,,5,2018,,16200,for_sale,land,Land,Tbilisi,Didgori,,,,,,,,,
409034,143580,lari,,5,2018,61,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,2,1,1,9,
388180,Contract price,,,5,2018,1000,,for_sale,commercial_estate,Building,Kvareli,,,,W/o renovation,20,,2,,2,old building
356648,83755,lari,,5,2018,70,,for_sale,flat,Apartments,Batumi,All areas,,,Black Frame,3,2,1,1,4,new building
322715,17,lari,,5,2018,392,2000,for_sale,summer_house,Summer Cottage,Vani,,,,,8,4,5,2,,
