pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,otype_sub,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
471004,1678,lari,month,8,2017,90,1000,for_rent,summer_house,Summer Cottage,Manglisi,,,,Renovated,5,3,3,2,,old building
454504,80,lari,day,8,2017,,,for_lease_one,flat,Apartments,Batumi,,,Tbeli Abuseridze st.,Renovated,2,1,1,1,3,old building
380981,40,lari,day,8,2017,,,for_lease_one,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Shartava st.,Eurostandard,2,1,2,1,9,new building
262628,64719,lari,,8,2017,100,406,for_sale,private_house,House,Gori,,,,Newly renovated,3,2,1,1,,new building
325766,60,lari,day,8,2017,,,for_lease_one,flat,Apartments,Batumi,,,,Eurostandard,3,2,3,,3,old building
376722,40,lari,day,8,2017,,,for_lease_one,flat,Apartments,Bakuriani,,,,Newly renovated,1,1,1,1,2,new building
528267,1678,lari,month,8,2017,155,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Saburtalo st.,Newly renovated,3,2,2,2,2,old building
539824,14374,lari,month,8,2017,,,for_rent,commercial_estate,Hotel,Tbilisi,Vake-Saburtalo,Saburtalo,Nutsubidze st.,Renovated,10,8,3,,,
556525,1199,lari,month,8,2017,60,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Vake,Kekelidze st.,Newly renovated,2,,1,,1,
556437,1079,lari,month,8,2017,80,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Tskneti st.,Renovated,3,2,2,1,1,old building
550475,311428,lari,,8,2017,117,,for_sale,commercial_estate,Restaurant,Tbilisi,Vake-Saburtalo,Vake,Napareuli st.,Renovated,4,,1,,,
553642,Contract price,,,8,2017,,3000,for_sale,land,Land,Tbilisi,Isani-Samgori,Ponichala,,,,,,,,
562975,5273,lari,month,8,2017,120,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Saburtalo,Shartava st.,W/o renovation,,,1,,,new building
577290,Contract price,,,8,2017,,3000,for_sale,land,Land,Tbilisi,Isani-Samgori,Ponichala,,,,,,,,
577295,Contract price,,,8,2017,,3400,for_sale,land,Land,Tbilisi,Isani-Samgori,Ponichala,,,,,,,,
582142,43121,lari,,8,2017,,1000,for_sale,land,Land,Tbilisi,Didgori,Tsavkisi,,,,,,,,
580235,850,lari,month,8,2017,50,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Vera,Shanidze st.,,2,1,1,1,2,
601438,2157,lari,month,8,2017,120,,for_rent,commercial_estate,Restaurant,Tbilisi,Gldani-Nadzaladevi,Temqa,Chargali st.,Newly renovated,6,,3,,,
601397,800,lari,month,8,2017,124,,for_rent,commercial_estate,Restaurant,Tbilisi,Gldani-Nadzaladevi,Nadzaladevi,Ts.Dadiani st.,Newly renovated,,,1,,,
601359,1000,lari,month,8,2017,78,,for_rent,commercial_estate,Retail real estate,Tbilisi,Gldani-Nadzaladevi,Temqa,Anapi Division st.,Newly renovated,,,1,,,new building
601022,1438,lari,month,8,2017,35,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Saburtalo,Kazbegi avenue,Newly renovated,2,,1,,,
600992,299450,lari,,8,2017,600,,for_sale,commercial_estate,Industrial real estate,Tbilisi,Vake-Saburtalo,Nutsubidze plateau,,Old renovated,,,,,1,
600913,431208,lari,,8,2017,200,,for_sale,flat,Apartments,Tbilisi,Old Tbilisi,Vera,Shio Mgvimeli st.,Old renovated,5,4,2,1,5,old building
599905,3596,lari,month,8,2017,100,,for_rent,commercial_estate,Office,Tbilisi,Didube-Chugureti,Chugureti,Agmashenebeli ave.,Renovated,3,,1,,1,
589817,1200,lari,month,8,2017,60,,for_rent,flat,Apartments,Tbilisi,Isani-Samgori,Isani,,Newly renovated,2,1,1,,1,new building
425885,1199,lari,month,8,2017,110,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Vera,Janashia st.,Renovated,3,2,1,2,9,new building
530542,3596,lari,month,8,2017,180,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,Radiani st.,Renovated,6,4,2,2,2,old building
617747,Contract price,,,8,2017,20,,for_rent,flat,Apartments,Kobuleti,,,,Newly renovated,7,1,1,1,2,old building
605834,155805,lari,,8,2017,90,,for_sale,flat,Apartments,Tbilisi,Didube-Chugureti,Digomi,Chaladze st.,Renovated,3,2,1,2,9,old building
623936,91086,lari,,8,2017,40,,for_sale,flat,Apartments,Tbilisi,Didube-Chugureti,Didube,A.Tsereteli ave.,Old renovated,1,1,2,1,5,old building
607703,575,lari,month,8,2017,40,,for_rent,flat,Apartments,Tbilisi,Didube-Chugureti,Didube,A.Tsereteli ave.,Old renovated,1,1,2,1,5,old building
652588,1629008,lari,,8,2017,340,,for_sale,commercial_estate,Restaurant,Tbilisi,Vake-Saburtalo,Saburtalo,Kazbegi avenue,Old renovated,,,2,,,
651536,1318,lari,month,8,2017,32,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Vake,Mosashvili st.,Newly renovated,1,,1,,1,
651485,2996,lari,month,8,2017,146,,for_rent,commercial_estate,Retail real estate,Tbilisi,Didube-Chugureti,Digomi,Gr.Robakidze avenue,Newly renovated,4,,3,,1,
651475,599,lari,month,8,2017,32,,for_rent,commercial_estate,Retail real estate,Tbilisi,Didube-Chugureti,Digomi,,Newly renovated,1,,1,,1,
651255,5989,lari,month,8,2017,210,,for_rent,commercial_estate,Retail real estate,Tbilisi,Didube-Chugureti,Chugureti,Uznadze st.,Newly renovated,2,,2,,1,
648650,500,lari,month,8,2017,35,,for_rent,flat,Apartments,Tbilisi,Didube-Chugureti,Digomi,Akhmeteli st.,Newly renovated,1,1,2,,2,old building
661173,500,lari,month,8,2017,26,,for_rent,flat,Apartments,Tbilisi,Didube-Chugureti,Chugureti,Ninoshvili st.,Newly renovated,1,1,1,,1,old building
658470,Contract price,,,8,2017,,500,for_sale,land,Land,Bazaleti,,,,,,,,,,
658469,Contract price,,,8,2017,,2300,for_sale,land,Land,Bazaleti,,,,,,,,,,
658468,Contract price,,,8,2017,,4700,for_sale,land,Land,Bazaleti,,,,,,,,,,
674750,341070,lari,,8,2017,129,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,White Frame,3,2,2,,7,under construction
674747,195650,lari,,8,2017,74,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,White Frame,3,2,1,,7,under construction
674744,161284,lari,,8,2017,61,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,White Frame,2,1,1,,5,under construction
668902,98000,lari,,8,2017,120,,for_sale,flat,Apartments,Bakuriani,,,,Renovated,3,1,1,1,4,new building
663348,550,lari,month,8,2017,40,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Nutsubidze st.,Old renovated,2,1,1,,4,old building
685827,2876,lari,month,8,2017,111,,for_rent,commercial_estate,Office,Tbilisi,Didube-Chugureti,Chugureti,Agmashenebeli ave.,Newly renovated,4,,2,,1,
685820,719,lari,month,8,2017,90,,for_rent,commercial_estate,Retail real estate,Tbilisi,Didube-Chugureti,Chugureti,Agmashenebeli ave.,Old renovated,3,,1,,1,
685805,3116,lari,month,8,2017,100,,for_rent,commercial_estate,Retail real estate,Tbilisi,Didube-Chugureti,Chugureti,King Tamar avenue,Old renovated,3,,1,,1,
683884,4075,lari,month,8,2017,310,100,for_rent,private_house,House,Tbilisi,Old Tbilisi,Vera,R. Djafaridze st.,Newly renovated,7,4,3,3,,new building
683882,4075,lari,month,8,2017,530,500,for_rent,private_house,House,Tbilisi,Vake-Saburtalo,Digomi 9,,Newly renovated,10,4,3,3,,new building
715350,527,lari,month,8,2017,53,,for_rent,flat,Apartments,Batumi,,,Kutaisi st.,Newly renovated,2,1,1,,2,old building
715345,80000,lari,,8,2017,53,,for_sale,flat,Apartments,Batumi,,,Kutaisi st.,Newly renovated,2,1,1,,2,old building
702312,68000,lari,,8,2017,80,,for_sale,flat,Apartments,Kutaisi,,,,,3,2,1,1,1,
