pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
455138,20000,dollar,month,10,2015,1030,,for_rent,commercial_estate,Tbilisi,Vake-Saburtalo,Saburtalo,Nutsubidze st.,Newly renovated,30,,,5,7,new building
471853,2500,dollar,month,10,2015,200,,for_rent,flat,Tbilisi,Old Tbilisi,Mtatsminda,Chitadze st.,Newly renovated,4,3,3,3,4,new building
449074,6000,dollar,,10,2015,,1000,for_sale,land,Dusheti,,,,,,,,,,
450603,2000,dollar,month,10,2015,700,1100,for_rent,private_house,Batumi,,,,Renovated,12,8,3,3,,old building
452556,200000,dollar,,10,2015,85,,for_sale,flat,Tbilisi,Old Tbilisi,Sololaki,Betlemi st.,Newly renovated,3,2,1,1,2,new building
456090,800,dollar,month,10,2015,190,,for_rent,flat,Tbilisi,Vake-Saburtalo,Vake,Abasheli st,Old renovated,4,3,1,1,2,old building
466252,5000,dollar,month,10,2015,206,,for_rent,commercial_estate,Tbilisi,Vake-Saburtalo,Saburtalo,Dolidze st.,Newly renovated,9,,4,,1,old building
465625,180000,dollar,,10,2015,110,,for_sale,flat,Tbilisi,Old Tbilisi,Vera,,Newly renovated,3,2,1,2,3,new building
467050,35000,dollar,,10,2015,150,,for_lease,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Renovated,4,3,1,1,5,old building
468661,90000,dollar,,10,2015,112,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Nutsubidze st.,Old renovated,3,2,1,2,4,old building
468808,140000,dollar,,10,2015,150,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Bakhtrioni st.,Renovated,5,4,1,2,3,old building
474122,105000,dollar,,10,2015,70,,for_sale,flat,Tbilisi,Vake-Saburtalo,Vake,Paliashvili st.,White Frame,3,2,1,1,2,under construction
479547,47000,dollar,,10,2015,50,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Tsagareli st.,White Frame,2,1,1,1,7,new building
172142,10000,dollar,,10,2015,300,450,for_sale,summer_house,Kaspi,,,,Under renovation,4,2,1,2,,old building
459313,70000,dollar,,10,2015,80,,for_sale,flat,Tbilisi,Didube-Chugureti,,,Under renovation,3,1,1,,1,old building
475806,36500,dollar,,10,2015,35,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Newly renovated,2,1,1,1,5,
487752,Contract price,,,10,2015,120,,for_rent,flat,Tbilisi,Vake-Saburtalo,,,Newly renovated,3,2,1,1,3,new building
487742,230,dollar,month,10,2015,60,,for_rent,flat,,,,,,3,2,1,,7,
487739,Contract price,,,10,2015,110,,for_sale,flat,Tbilisi,Vake-Saburtalo,Vake,A.Razmadze st.,,3,3,2,,3,under construction
487732,30000,dollar,,10,2015,,600,for_sale,land,Tbilisi,Gldani-Nadzaladevi,,,,,,,,,
297321,60,lari,day,10,2015,40,,for_rent,flat,Tbilisi,,,,Newly renovated,1,1,1,1,3,old building
487726,200000,dollar,,10,2015,100,,for_sale,flat,Tbilisi,Vake-Saburtalo,Vake,,Newly renovated,3,2,2,,5,new building
487724,Contract price,,,10,2015,140,,for_rent,commercial_estate,Tbilisi,Vake-Saburtalo,Saburtalo,Mitskevichi st.,W/o renovation,,,,,,
364561,75000,dollar,,10,2015,,2500,for_sale,land,Poti,,,,,,,,,,
404935,75000,dollar,,10,2015,2500,2500,for_sale,private_house,Poti,,,,,3,2,1,,,
487718,31000,dollar,,10,2015,100,400,for_sale,private_house,Rustavi,,,,Newly renovated,4,3,2,1,,new building
