pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
448676,110,lari,day,7,2016,,,for_lease_one,flat,Batumi,All areas,All districts,,Eurostandard,1,1,1,1,7,new building
445211,50,lari,day,7,2016,,,for_lease_one,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Newly renovated,1,1,1,1,4,old building
433657,50000,dollar,,7,2016,280,280,for_sale,private_house,Kutaisi,Sapichxia,,,W/o renovation,7,4,2,,,
319609,60,dollar,day,7,2016,,,for_lease_one,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Shartava st.,Eurostandard,3,2,1,2,7,new building
393078,70,dollar,day,7,2016,,,for_lease_one,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Gagarini st.,Eurostandard,3,2,1,1,9,new building
476486,77000,dollar,,7,2016,97,,for_sale,flat,Tbilisi,Isani-Samgori,Ortachala,,Newly renovated,3,2,1,1,3,new building
467006,Contract price,,,7,2016,,1000,for_sale,land,Tbilisi,Vake-Saburtalo,Didi digomi,,,,,,,,
261142,1500,dollar,month,7,2016,200,,for_rent,commercial_estate,Tbilisi,Vake-Saburtalo,Vake,Paliashvili st.,Newly renovated,4,,3,2,,
476407,125000,dollar,,7,2016,127,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Saburtalo st.,White Frame,3,2,2,2,14,new building
366654,45,dollar,day,7,2016,,,for_lease_one,flat,Batumi,All areas,All districts,,Newly renovated,1,1,1,,9,new building
366657,45,dollar,day,7,2016,,,for_lease_one,flat,Batumi,All areas,All districts,,Newly renovated,1,1,1,1,2,old building
416198,Contract price,,,7,2016,226,,for_sale,flat,Tbilisi,Vake-Saburtalo,Bagebi,,White Frame,6,4,3,2,3,new building
476170,600,dollar,month,7,2016,145,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Sairme st.,Newly renovated,5,3,1,1,4,new building
476132,180000,dollar,,7,2016,600,180,for_sale,commercial_estate,Tbilisi,Vake-Saburtalo,Nutsubidze plateau,,Newly renovated,3,,2,,1,old building
416718,50000,dollar,,7,2016,82,,for_sale,flat,Tbilisi,,,,Newly renovated,3,2,2,1,2,
455415,800,dollar,month,7,2016,100,,for_rent,flat,Tbilisi,Old Tbilisi,Sololaki,Leselidze st.,Newly renovated,4,3,1,,2,
476106,70500,dollar,,7,2016,94,,for_sale,flat,Tbilisi,Vake-Saburtalo,Bagebi,,White Frame,3,2,1,1,6,new building
476097,49000,dollar,,7,2016,50,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Jikia st.,Newly renovated,2,1,1,1,4,new building
476093,500,dollar,month,7,2016,100,,for_rent,flat,Tbilisi,Old Tbilisi,Vera,Tarkhnishvili st.,Newly renovated,3,2,2,1,4,old building
464480,50000,dollar,,7,2016,100,,for_sale,flat,Tbilisi,Gldani-Nadzaladevi,Nadzaladevi,Ts.Dadiani st.,Newly renovated,2,1,1,,1,new building
425984,124000,dollar,,7,2016,120,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Kostava st.,Newly renovated,4,3,1,1,6,new building
