pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,otype_sub,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
263065,Contract price,,,11,2017,450,1000,for_sale,summer_house,Summer Cottage,Tbilisi,Didgori,Tskneti,,Eurostandard,7,5,4,4,,new building
310383,18039,lari,,11,2017,760,760,for_sale,summer_house,Summer Cottage,Mukhrani,,,,,5,3,2,,,
318538,500,lari,month,11,2017,30,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,Kipiani st.,Renovated,1,1,1,,1,
357172,7731593,lari,,11,2017,,600,for_sale,land,Land,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,,,,,,,
357489,140457,lari,,11,2017,71,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Kazbegi avenue,Black Frame,2,1,1,1,6,old building
352341,773159,lari,,11,2017,600,1200,for_sale,private_house,House,Tbilisi,Vake-Saburtalo,Digomi 7,,White Frame,13,8,3,3,,new building
488180,46778,lari,,11,2017,50,,for_sale,flat,Apartments,Ureki,,,,Newly renovated,2,1,1,1,1,old building
210309,124985,lari,,11,2017,100,,for_sale,flat,Apartments,Tbilisi,Gldani-Nadzaladevi,Gldani,,Old renovated,3,2,3,2,3,
240612,7731,lari,month,11,2017,400,600,for_rent,private_house,House,Tbilisi,Vake-Saburtalo,Saburtalo,Margiani st.,Newly renovated,9,4,4,3,,old building
509069,644250,lari,,11,2017,352,1500,for_sale,summer_house,Summer Cottage,Saguramo,,,,Renovated,7,4,3,2,,
524152,1675,lari,month,11,2017,40,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Renovated,1,,1,,,
542394,141745,lari,,11,2017,75,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Kazbegi avenue,Black Frame,3,2,1,1,3,new building
580099,77,lari,month,11,2017,90,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Tamarashvili st.,Old renovated,3,2,1,1,4,old building
586031,500,lari,month,11,2017,30,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Renovated,1,1,1,1,5,old building
394074,600,lari,month,11,2017,35,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,Griboedovi st.,Renovated,2,1,1,,3,old building
619112,194687,lari,,11,2017,84,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,White Frame,3,2,1,1,8,new building
652588,1415446,lari,,11,2017,340,,for_sale,commercial_estate,Restaurant,Tbilisi,Vake-Saburtalo,Saburtalo,Kazbegi avenue,Old renovated,,,2,,,
630963,960000,lari,,11,2017,10000,10000,for_sale,commercial_estate,Industrial real estate,Tbilisi,Isani-Samgori,Africa,,Old renovated,99,,1,,1,old building
646735,309,lari,day,11,2017,,,for_lease_one,private_house,House,Tbilisi,Vake-Saburtalo,Saburtalo,Universiteti st.,Eurostandard,6,3,2,2,,new building
645377,463860,lari,,11,2017,,4500,for_sale,land,Land,Tbilisi,Isani-Samgori,Varketili,,,,,,,,
375336,404589,lari,,11,2017,143,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,S.Tsintsadze st.,White Frame,4,3,2,4,10,new building
685827,3092,lari,month,11,2017,111,,for_rent,commercial_estate,Office,Tbilisi,Didube-Chugureti,Chugureti,Agmashenebeli ave.,Newly renovated,4,,2,,1,
685775,773159,lari,,11,2017,400,,for_sale,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,M.Aleksidze st.,Black Frame,2,,2,,1,new building
685364,309,lari,day,11,2017,,,for_lease_one,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Kazbegi avenue,Newly renovated,4,3,2,2,9,new building
684346,193275,lari,,11,2017,120,,for_sale,flat,Apartments,Tbilisi,Old Tbilisi,Vera,Rcheulishvili st.,,4,3,1,2,4,old building
