pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,otype_sub,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
654910,100,lari,day,11,2018,,,for_lease_one,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Zakariadze st.,Newly renovated,2,1,2,2,5,old building
656380,5500,lari,month,11,2018,343,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,Renovated,5,3,3,2,4,
671589,60,lari,day,11,2018,,,for_lease_one,flat,Apartments,Tbilisi,Didube-Chugureti,Didube,Evdoshvili st.,Newly renovated,2,1,1,1,7,new building
695137,2663,lari,month,11,2018,120,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,4,3,2,,4,new building
695206,2264,lari,month,11,2018,210,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,5,3,2,,9,new building
737791,240,lari,month,11,2018,300,1200,for_rent,private_house,House,Tbilisi,Didgori,Kojori,,Renovated,5,3,2,2,,old building
650381,178421,lari,,11,2018,70,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Eurostandard,3,2,1,1,7,old building
706517,1864,lari,month,11,2018,70,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,2,,1,,1,new building
695296,3116,lari,month,11,2018,65,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,2,,1,,12,new building
695306,3,lari,,11,2018,1000,,for_sale,commercial_estate,Office,Tbilisi,Isani-Samgori,Ortachala,,Eurostandard,10,,3,,3,new building
695314,5592,lari,month,11,2018,150,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,6,,3,,3,new building
695315,5326,lari,month,11,2018,140,,for_rent,commercial_estate,Office,Tbilisi,Old Tbilisi,Vera,,Eurostandard,5,,3,,1,new building
695257,1465,lari,month,11,2018,70,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,,2,,1,new building
695261,1864,lari,month,11,2018,90,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,,1,,2,new building
695264,3,lari,month,11,2018,105,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,,1,,1,new building
695266,14647,lari,month,11,2018,235,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,8,,3,,1,new building
695269,10585,lari,month,11,2018,271,,for_rent,commercial_estate,Office,Tbilisi,Didube-Chugureti,Chugureti,,Eurostandard,3,,2,,1,new building
695272,2397,lari,month,11,2018,85,,for_rent,commercial_estate,Office,Tbilisi,Didube-Chugureti,Didube,,Eurostandard,1,,1,,1,new building
695279,6658,lari,month,11,2018,250,,for_rent,commercial_estate,Office,Tbilisi,Old Tbilisi,Mtatsminda,,Eurostandard,4,,2,,2,new building
695281,3196,lari,month,11,2018,200,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,4,,1,,2,new building
695285,5326,lari,month,11,2018,230,,for_rent,commercial_estate,Office,Tbilisi,Didube-Chugureti,Didube,,Eurostandard,6,,2,,1,new building
695289,6658,lari,month,11,2018,117,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,5,,1,,1,new building
695292,5859,lari,month,11,2018,110,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,,2,,13,new building
702233,1864,lari,month,11,2018,90,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,2,1,2,,10,new building
702492,1731,lari,month,11,2018,100,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,2,1,,11,new building
702241,2556,lari,month,11,2018,64,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,2,1,1,,7,new building
704310,1332,lari,month,11,2018,70,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Bagebi,,Eurostandard,3,2,1,,2,new building
