pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,otype_sub,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
310413,153,lari,day,7,2019,,,for_lease_one,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Sagarejo st.,Eurostandard,3,2,1,2,7,new building
348036,2651,lari,month,7,2019,134,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Shartava st.,Newly renovated,3,2,1,1,4,new building
344703,250383,lari,,7,2019,70,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Newly renovated,3,2,1,1,8,new building
347927,70698,lari,,7,2019,26,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,W/o renovation,1,1,1,1,6,old building
461547,82488,lari,,7,2019,200,800,for_sale,summer_house,Summer Cottage,Martkofi,,,,Renovated,5,2,2,3,,old building
346688,353482,lari,,7,2019,85,,for_sale,flat,Apartments,Batumi,,,,Newly renovated,3,2,1,2,7,new building
345751,7365,lari,month,7,2019,152,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,Freedom square,Newly renovated,3,2,2,2,4,new building
346228,1915,lari,month,7,2019,85,,for_rent,flat,Apartments,Batumi,,,,Newly renovated,3,2,1,1,7,new building
345487,2651,lari,month,7,2019,108,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,Newly renovated,3,2,2,2,12,new building
344690,205062,lari,,7,2019,96,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,S.Chikovani st.,Old renovated,25,1,1,2,9,old building
345693,265113,lari,,7,2019,115,,for_sale,flat,Apartments,Tbilisi,Didube-Chugureti,Digomi,Lubliani st.,Old renovated,5,4,2,2,2,old building
553471,Contract price,,,7,2019,500,2000,for_sale,private_house,House,Sartichala,,,,Renovated,6,3,2,2,,new building
343541,147,lari,day,7,2019,,,for_lease_one,flat,Apartments,Batumi,,,,Newly renovated,3,2,1,2,9,new building
633831,26514,lari,year,7,2019,60,,for_lease,flat,Apartments,Tbilisi,Didube-Chugureti,Didube,,Eurostandard,4,2,2,,8,old building
648090,50082,lari,year,7,2019,40,576,for_lease,private_house,House,Tbilisi,Isani-Samgori,Ortachala,Ortachala st.,Newly renovated,2,1,2,1,,old building
657634,35352,lari,year,7,2019,50,,for_lease,flat,Apartments,Tbilisi,Isani-Samgori,Mesame masivi,,Newly renovated,2,1,2,1,6,old building
647278,29460,lari,year,7,2019,40,,for_lease,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Delisi st. I,Renovated,2,1,2,,2,old building
438422,88,lari,day,7,2019,,,for_lease_one,flat,Apartments,Batumi,,,,Newly renovated,2,1,1,2,9,new building
753798,4124,lari,month,7,2019,165,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,I.Abashidze st.,Newly renovated,4,,2,2,1,new building
751002,206,lari,day,7,2019,,,for_lease_one,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,Newly renovated,3,2,1,2,5,new building
749697,1768,lari,month,7,2019,120,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,Rustaveli ave.,Old renovated,4,3,1,1,6,old building
748003,118,lari,day,7,2019,,,for_lease_one,flat,Apartments,Tbilisi,Old Tbilisi,Sololaki,Khandtsteli st.,Renovated,2,1,1,,1,old building
748017,14727,lari,month,7,2019,500,200,for_rent,private_house,House,Tbilisi,Old Tbilisi,Vera,Barnovi st.,Renovated,10,7,4,3,,
746719,1054977,lari,,7,2019,150,,for_sale,commercial_estate,Retail real estate,Tbilisi,Old Tbilisi,Mtatsminda,,Newly renovated,3,,2,,,
747972,368212,lari,,7,2019,150,,for_sale,commercial_estate,Warehouse,Tbilisi,Old Tbilisi,Sololaki,Kavlashvili st.,W/o renovation,,,,,,
745402,2357,lari,month,7,2019,100,,for_rent,commercial_estate,Office,Tbilisi,Old Tbilisi,Vera,G. Akhvlediani st.,Renovated,3,,1,1,2,old building
744066,1921,lari,month,7,2019,75,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,Renovated,3,,1,,1,old building
742096,884,lari,month,7,2019,45,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Vera,Kazbegi st.,Renovated,1,1,1,1,2,old building
484094,250410,lari,,7,2019,250,1300,for_sale,summer_house,Summer Cottage,Tbilisi,Didgori,Tabakhmela,,Newly renovated,5,4,2,3,,old building
776526,50082,lari,year,7,2019,54,,for_lease,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Budapeshti st.,Newly renovated,2,1,2,1,1,old building
799812,32406,lari,year,7,2019,80,,for_lease,flat,Apartments,Tbilisi,Didube-Chugureti,Didube,A.Tsereteli ave.,Eurostandard,3,2,2,,5,old building
857660,47136,lari,year,7,2019,50,,for_lease,flat,Apartments,Tbilisi,Vake-Saburtalo,,,Eurostandard,3,2,2,1,4,old building
851560,38298,lari,year,7,2019,100,,for_lease,flat,Apartments,Tbilisi,Vake-Saburtalo,,,Old renovated,3,2,1,1,1,old building
859634,44190,lari,year,7,2019,70,,for_lease,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,2,1,2,1,1,new building
837104,44190,lari,year,7,2019,80,,for_lease,flat,Apartments,Tbilisi,Gldani-Nadzaladevi,Gldani,,Old renovated,2,1,2,,7,old building
902469,400,lari,month,7,2019,37,,for_rent,commercial_estate,Office,Tbilisi,Didube-Chugureti,Didube,Sokhumi st.,,2,,1,,1,new building
902480,850,lari,month,7,2019,46,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,Kazbegi avenue,,3,,1,,1,old building
902471,78000,lari,,7,2019,86,,for_sale,flat,Apartments,Tbilisi,Gldani-Nadzaladevi,Nadzaladevi,Sh.Tsintsadze st.,Newly renovated,4,3,1,,1,old building
