pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,otype_sub,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
918408,29550,lari,,2,2020,,1847,for_sale,land,Land,,,,,,,,,,,
1105775,174786,lari,,2,2020,111,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Didi digomi,,White Frame,4,3,2,1,7,new building
1096243,1288,lari,month,2,2020,67,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Newly renovated,3,2,1,1,8,new building
1097589,1861,lari,month,2,2020,60,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Vera,Tarkhnishvili st.,Eurostandard,2,1,1,1,4,new building
1086857,57260,lari,,2,2020,,1500,for_sale,land,Land,Dusheti,,,,,,,,,,
978400,Contract price,,,2,2020,750,,for_rent,commercial_estate,Office,Kutaisi,,,,,25,,5,,7,
408222,1920,lari,month,2,2020,140,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Vera,,Newly renovated,3,2,2,2,5,new building
275002,220800,lari,,2,2020,100,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Pekini st.,Newly renovated,4,2,1,,1,old building
277771,3600,lari,month,2,2020,130,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Newly renovated,3,2,2,1,13,new building
355815,6000,lari,month,2,2020,280,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Paliashvili st.,Newly renovated,6,4,3,4,5,old building
344974,3600,lari,month,2,2020,160,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Abuladze st.,Newly renovated,4,3,3,3,7,new building
372315,2400,lari,month,2,2020,120,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Avlabari,Ketevan Tsamebuli ave.,Newly renovated,4,3,2,2,6,new building
272924,360000,lari,,2,2020,160,,for_sale,flat,Apartments,Tbilisi,Old Tbilisi,Vera,,W/o renovation,5,4,1,2,2,old building
