pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,otype_sub,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
400473,30,lari,day,2,2017,,,for_lease_one,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Pekini st.,Newly renovated,1,1,1,,6,new building
385985,70000,dollar,,2,2017,123,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Nutsubidze plateau,,Newly renovated,3,2,1,1,5,old building
150779,800000,dollar,,2,2017,400,600,for_sale,private_house,House,Borjomi,,,,Newly renovated,12,9,5,2,,old building
409599,10000,dollar,,2,2017,100,219,for_sale,commercial_estate,Industrial real estate,Tetritskaro,,,,Black Frame,,,,,1,old building
308434,20000,dollar,,2,2017,,1000,for_sale,land,Land,Tbilisi,Didgori,Tsavkisi,,,,,,,,
308591,1000,dollar,month,2,2017,100,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,Newly renovated,3,,1,1,1,
151784,100000,dollar,,2,2017,495,495,for_sale,private_house,House,Kobuleti,,,,,7,5,2,2,,
172952,110000,dollar,,2,2017,85,,for_sale,flat,Apartments,Tbilisi,Didube-Chugureti,Digomi,Paichadze st.,Eurostandard,2,1,1,1,4,new building
171370,110000,dollar,,2,2017,76,,for_sale,commercial_estate,Restaurant,Tbilisi,Didube-Chugureti,Chugureti,I.Javakhishvili st.,Renovated,2,,1,,1,old building
171747,6000,dollar,month,2,2017,520,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,6,,3,2,15,new building
173085,12000,dollar,month,2,2017,415,,for_rent,commercial_estate,Retail real estate,Tbilisi,Didube-Chugureti,Chugureti,Agmashenebeli ave.,Newly renovated,3,,2,,,new building
173499,142000,dollar,,2,2017,147,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Panaskerteli st.,Newly renovated,3,2,2,1,9,new building
173504,160000,dollar,,2,2017,145,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Panaskerteli st.,Newly renovated,4,3,2,3,8,new building
304110,10000,dollar,,2,2017,,150,for_sale,land,Land,Shekvetili,,,,,,,,,,
310149,18000,dollar,,2,2017,,1100,for_sale,land,Land,Tbilisi,Isani-Samgori,Lilo,,,,,,,,
291493,Contract price,,,2,2017,,720,for_sale,land,Land,Tbilisi,Vake-Saburtalo,Vake,,,,,,,,
330006,300000,dollar,,2,2017,65,,for_sale,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,Newly renovated,,,1,,1,
327070,38000,dollar,,2,2017,38,,for_sale,flat,Apartments,Batumi,,,,White Frame,1,1,1,1,14,new building
327084,150000,dollar,,2,2017,142,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Pankisi st.,Newly renovated,5,3,2,2,6,new building
338814,55000,dollar,,2,2017,100,,for_sale,flat,Apartments,Tbilisi,Gldani-Nadzaladevi,Sanzona,,Old renovated,2,1,1,1,4,old building
