pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,otype_sub,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
468121,480568,lari,,11,2019,,40000,for_sale,land,Land,Mtskheta,,,,,,,,,,
329517,230072,lari,,11,2019,,8000,for_sale,land,Land,Natakhtari,,,,,,,,,,
652736,4045,lari,month,11,2019,200,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,Newly renovated,4,3,2,2,6,new building
652013,4591,lari,month,11,2019,93,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,Shevchenko st.,Newly renovated,3,2,2,2,6,new building
748583,Contract price,,,11,2019,200,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Newly renovated,6,,5,,,new building
800560,779,lari,month,11,2019,100,,for_rent,flat,Apartments,Tbilisi,Gldani-Nadzaladevi,Mukhiani,Dumbadze avenue,Renovated,4,3,2,2,4,old building
829154,431250,lari,,11,2019,200,,for_sale,commercial_estate,Restaurant,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Renovated,,,5,,1,old building
853371,452081,lari,,11,2019,185,,for_sale,flat,Apartments,Tbilisi,Old Tbilisi,Vera,Shio Mgvimeli st.,Newly renovated,4,3,2,2,1,new building
919945,30,lari,day,11,2019,,,for_lease_one,flat,Apartments,Tbilisi,Old Tbilisi,Avlabari,Peristsvaleba st.,Newly renovated,1,1,1,1,1,new building
940500,5261,lari,month,11,2019,60,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Saburtalo,Pekini st.,W/o renovation,1,,1,,,
940495,3915,lari,month,11,2019,270,400,for_rent,private_house,House,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,7,5,3,5,,
940123,1202,lari,month,11,2019,52,,for_rent,commercial_estate,Office,Tbilisi,Old Tbilisi,Vera,G. Akhvlediani st.,Newly renovated,2,,1,,1,old building
939313,8018,lari,month,11,2019,400,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,Radiani st.,Newly renovated,12,,3,6,1,
1067305,Contract price,,,11,2019,,10500,for_sale,land,Land,Martkofi,,,,,,,,,,
1077381,1730,lari,month,11,2019,105,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,Newly renovated,3,2,1,1,4,old building
1077365,700,lari,month,11,2019,52,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Nutsubidze plateau,,Newly renovated,2,1,1,1,4,old building
1077347,1442,lari,month,11,2019,105,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Vera,Milorava st.,Newly renovated,4,2,1,1,2,new building
1041050,115000,lari,,11,2019,60,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Didi digomi,,Newly renovated,3,2,1,2,6,new building
1002126,7500,lari,,11,2019,,600,for_sale,land,Land,Martkofi,,,,,,,,,,
1069732,600,lari,month,11,2019,22,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,Ritsa st.,Newly renovated,15,1,1,,2,old building
1078211,Contract price,,,11,2019,160,130,for_sale,private_house,House,Tbilisi,Gldani-Nadzaladevi,Sanzona,Shengelaia st.,Old renovated,5,3,2,1,,old building
1056144,216,lari,,11,2019,150,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Didi digomi,Giorgi Brtskinvale st.,Newly renovated,6,3,2,,3,old building
1042626,158125,lari,,11,2019,,450,for_sale,land,Land,Tbilisi,Old Tbilisi,Mtatsminda,Okrokana st.,,,,,,,
1085566,Contract price,,,11,2019,92,,for_sale,flat,Apartments,Tbilisi,Gldani-Nadzaladevi,Nadzaladevi,Ts.Dadiani st.,Newly renovated,3,2,1,2,7,old building
1083834,1294,lari,month,11,2019,130,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,Newly renovated,3,3,1,1,5,old building
1089388,77625,lari,,11,2019,35,,for_sale,flat,Apartments,Tbilisi,Isani-Samgori,Mesame masivi,,Renovated,1,1,1,1,2,old building
1102835,75000,lari,,11,2019,50,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Didi digomi,Agmashenebeli alley,White Frame,2,1,1,,3,new building
1102830,Contract price,,,11,2019,,,for_lease_one,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,N. Djvania st.,Newly renovated,4,3,2,2,1,new building
1102825,Contract price,,,11,2019,47,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Kazbegi avenue,Renovated,1,1,1,1,1,old building
1102823,30000,lari,,11,2019,,1600,for_sale,land,Land,Mukhrani,,,,,,,,,,
1102822,500,lari,month,11,2019,77,,for_rent,flat,Apartments,Mtskheta,,,,Old renovated,3,2,2,2,5,old building
