pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,otype_sub,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
457618,6192,lari,month,10,2017,280,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Vake,N. Ramishvili st.,Black Frame,2,,2,,1,new building
458637,1238,lari,month,10,2017,90,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,Kekelidze st.,Newly renovated,3,,1,,1,old building
456002,743,lari,month,10,2017,60,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,Jikia st.,Newly renovated,2,,1,,2,
458354,743,lari,month,10,2017,30,,for_rent,commercial_estate,Office,Tbilisi,Didube-Chugureti,Didube,A.Tsereteli ave.,Newly renovated,2,,1,,,old building
458358,867,lari,month,10,2017,50,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,Kazbegi avenue,Newly renovated,2,,1,,6,old building
374206,168,lari,day,10,2017,,,for_lease_one,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,Br. Zubalashvili st.,Eurostandard,3,2,2,1,3,new building
387275,120,lari,day,10,2017,,,for_lease_one,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,Rustaveli ave.,Newly renovated,2,2,1,,2,new building
414207,4210,lari,month,10,2017,198,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Tamarashvili st.,Newly renovated,5,3,2,2,10,new building
414515,3220,lari,month,10,2017,87,,for_rent,commercial_estate,Retail real estate,Tbilisi,Didube-Chugureti,Chugureti,Mardjanishvili st.,Newly renovated,,,1,,,
414548,1238,lari,month,10,2017,87,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,2,1,1,1,13,new building
272491,1115,lari,month,10,2017,70,,for_rent,flat,Apartments,Tbilisi,Isani-Samgori,Isani,,Newly renovated,2,1,1,1,9,new building
414748,7430,lari,month,10,2017,500,200,for_rent,private_house,House,Tbilisi,Old Tbilisi,Mtatsminda,,Under renovation,12,8,8,3,,
414533,1486020,lari,,10,2017,600,300,for_sale,private_house,House,Tbilisi,Old Tbilisi,Vera,Kostava st.,Old renovated,8,6,5,3,,
