pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
205485,Contract price,,,1,2017,353,,for_sale,commercial_estate,Bakuriani,,,,Black Frame,8,,,,,new building
175470,Contract price,,,1,2017,,,for_lease_one,flat,Bakuriani,,,,Eurostandard,2,1,1,1,1,new building
318463,Contract price,,,1,2017,130,,for_rent,commercial_estate,Kutaisi,,,,Newly renovated,,,,,,new building
330654,Contract price,,,1,2017,450,,for_rent,commercial_estate,Kutaisi,,,,Newly renovated,,,,,,old building
389504,Contract price,,,1,2017,100,,for_rent,commercial_estate,Kutaisi,,,,Newly renovated,,,,,,old building
517080,79000,dollar,,1,2017,335,480,for_sale,summer_house,Borjomi,,,,Renovated,8,4,2,2,,old building
495954,100,lari,month,1,2017,39,,for_rent,flat,Bakuriani,,,,,2,1,1,1,5,
547107,95000,dollar,,1,2017,100,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,3,2,1,2,4,new building
404861,150,dollar,day,1,2017,,,for_lease_one,private_house,Tbilisi,Old Tbilisi,Mtatsminda,A.Chavchavadze st.,Eurostandard,5,3,2,2,,new building
571691,95000,dollar,,1,2017,185,165,for_sale,private_house,Tbilisi,Old Tbilisi,Vera,Gunia st.,Renovated,14,5,4,1,,old building
628997,16000,dollar,,1,2017,,15000,for_sale,land,Tbilisi,Isani-Samgori,Lilo,,,,,,,,
632991,7000,dollar,,1,2017,,2480,for_sale,land,Martkofi,,,,,,,,,,
675230,Contract price,,,1,2017,53,,for_rent,flat,Tbilisi,Gldani-Nadzaladevi,Temqa,,Newly renovated,2,1,1,,3,new building
675229,Contract price,,,1,2017,2000,,for_rent,flat,Bakuriani,,,,Newly renovated,22,22,22,22,2,new building
675218,350,dollar,month,1,2017,56,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Jikia st.,Newly renovated,3,2,1,,2,new building
675202,50000,dollar,,1,2017,75,750,for_sale,summer_house,Tbilisi,Didgori,Tskneti,,Old renovated,2,2,1,,,old building
476486,77000,dollar,,1,2017,97,,for_sale,flat,Tbilisi,Isani-Samgori,Ortachala,,Newly renovated,3,2,1,1,3,new building
427413,73000,dollar,,1,2017,120,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Nutsubidze st.,Old renovated,5,4,2,2,4,old building
474696,110000,dollar,,1,2017,125,,for_sale,flat,Tbilisi,Didube-Chugureti,Chugureti,U.Chkheidze st.,Renovated,4,3,2,2,4,new building
474369,295000,dollar,,1,2017,220,,for_sale,flat,Tbilisi,Vake-Saburtalo,Vake,,Newly renovated,4,3,3,3,3,new building
379341,700,dollar,month,1,2017,81,,for_rent,flat,Tbilisi,Old Tbilisi,Krtsanisi,Krtsanisi str.,Eurostandard,3,2,1,1,1,new building
448676,30000,dollar,,1,2017,40,,for_sale,flat,Batumi,All areas,All districts,,Eurostandard,1,1,1,1,7,new building
466274,100000,dollar,,1,2017,150,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Bochorishvili st.,Black Frame,4,3,2,2,8,new building
465830,83000,dollar,,1,2017,117,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Saburtalo st.,W/o renovation,4,2,1,2,4,old building
465129,350,dollar,month,1,2017,80,,for_rent,flat,Tbilisi,Didube-Chugureti,,,Newly renovated,3,2,1,1,3,old building
464090,350,dollar,month,1,2017,100,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Gagarini st.,Old renovated,4,2,1,1,2,old building
121291,Contract price,,,1,2017,15500,32000,for_sale,commercial_estate,Rustavi,,,,W/o renovation,,,,,,old building
133211,330000,dollar,,1,2017,,5200000,for_sale,land,Dedoplistskaro,,,,,,,,,,
489328,59900,dollar,,1,2017,65,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Jikia st.,Newly renovated,3,2,1,2,7,new building
489315,Contract price,,,1,2017,300,,for_sale,flat,Tbilisi,Didube-Chugureti,Chugureti,Agmashenebeli ave.,Old renovated,7,4,2,1,3,old building
489312,Contract price,,,1,2017,300,,for_sale,commercial_estate,Tbilisi,Didube-Chugureti,Chugureti,Agmashenebeli ave.,Old renovated,7,,2,,3,old building
484481,39600,dollar,,1,2017,,880,for_sale,land,Tbilisi,Gldani-Nadzaladevi,Zahesi,,,,,,,,
484527,129000,dollar,,1,2017,130,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Bakhtrioni st.,Old renovated,3,2,1,2,2,old building
484462,460345,dollar,,1,2017,,4003,for_sale,land,Tbilisi,Isani-Samgori,Samgori,Kakheti highway,,,,,,,
479128,56700,dollar,,1,2017,60,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Z. Bendeliani st.,Old renovated,2,1,1,1,5,old building
479113,60000,dollar,,1,2017,100,60,for_sale,private_house,Tbilisi,Isani-Samgori,Isani,,Renovated,5,3,2,1,,old building
478210,400,dollar,month,1,2017,125,,for_rent,flat,Tbilisi,Didube-Chugureti,Didube,A.Tsereteli ave.,Renovated,5,3,1,1,8,old building
493907,850,dollar,month,1,2017,150,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,4,3,2,3,6,new building
201603,5000,dollar,,1,2017,,10000,for_sale,land,Tsalka,,,,,,,,,,
201604,10000,dollar,,1,2017,,2000,for_sale,land,Lanchkhuti,,,,,,,,,,
328582,5000,dollar,,1,2017,,500,for_sale,land,Natanebi,,,,,,,,,,
513251,50000,dollar,,1,2017,70,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Old renovated,3,2,1,,1,old building
513248,50000,dollar,,1,2017,82,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Newly renovated,2,1,1,,1,old building
513233,700000,dollar,month,1,2017,560,396,for_rent,private_house,Batumi,All areas,All districts,,Old renovated,3,4,4,3,,old building
511947,6750,dollar,month,1,2017,1056,,for_rent,commercial_estate,Tbilisi,Vake-Saburtalo,Saburtalo,Pekini st.,Renovated,30,,3,,1,old building
501711,90,dollar,day,1,2017,,,for_lease_one,flat,Gudauri,,,,Newly renovated,2,2,1,1,1,
505956,9000,dollar,,1,2017,,12150,for_sale,land,Signagi,,,,,,,,,,
507631,99900,dollar,,1,2017,106,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Eurostandard,3,2,2,1,3,new building
506904,61900,dollar,,1,2017,85,,for_sale,flat,Tbilisi,Old Tbilisi,Krtsanisi,Gorgasali st.,Newly renovated,3,2,1,1,8,old building
505138,120000,dollar,,1,2017,125,300,for_sale,private_house,Tbilisi,Isani-Samgori,Ortachala,II Kheivni st.,Renovated,5,3,1,1,,new building
504878,250,dollar,month,1,2017,75,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Nutsubidze st.,Newly renovated,3,2,1,1,13,old building
526078,5000,dollar,,1,2017,,800,for_sale,land,Oni,,,,,,,,,,
524790,550,dollar,month,1,2017,100,,for_rent,flat,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze turn I,Newly renovated,4,2,1,1,2,old building
522577,650,dollar,month,1,2017,100,,for_rent,commercial_estate,Tbilisi,Didube-Chugureti,Chugureti,Tsinamdzgvrishvili st.,Newly renovated,2,,1,,1,old building
521956,350,dollar,month,1,2017,40,,for_rent,flat,Tbilisi,Old Tbilisi,Vera,Tarkhnishvili st.,Eurostandard,2,1,1,,1,new building
545722,64900,dollar,,1,2017,100,,for_sale,flat,Tbilisi,Didube-Chugureti,Chugureti,Uznadze st.,Under renovation,5,4,1,,2,old building
539442,Contract price,,,1,2017,,3000,for_sale,land,Grigoleti,,,,,,,,,,
524213,80,lari,day,1,2017,,,for_lease_one,flat,Bakuriani,,,,Newly renovated,2,1,1,1,3,new building
560012,270,dollar,month,1,2017,60,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Pekini st.,Newly renovated,1,1,1,1,8,
550260,80000,dollar,,1,2017,110,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Saburtalo st.,W/o renovation,3,2,2,2,1,old building
551671,500,dollar,month,1,2017,45,,for_rent,commercial_estate,Tbilisi,Vake-Saburtalo,Vake,Takaishvili st.,Old renovated,1,,1,,1,old building
553702,65000,dollar,,1,2017,125,50,for_sale,private_house,Tbilisi,Old Tbilisi,Krtsanisi,,Renovated,5,3,1,1,,new building
380397,Contract price,,,1,2017,360,,for_rent,flat,Poti,,,,Eurostandard,10,25,10,,2,new building
406637,Contract price,,,1,2017,700,300,for_sale,summer_house,Ureki,,,,Newly renovated,14,12,10,10,,new building
601156,36000,dollar,,1,2017,100,,for_sale,flat,Rustavi,,,,W/o renovation,4,3,1,2,5,
638813,44000,dollar,,1,2017,105,,for_sale,flat,Tbilisi,Isani-Samgori,Vazisubani,,Old renovated,4,2,2,2,3,old building
673363,200,dollar,,1,2017,20,,for_sale,commercial_estate,Tbilisi,Isani-Samgori,Varketili,Abashvili st.,,1,,1,,1,
675276,Contract price,,,1,2017,200,,for_rent,commercial_estate,Tbilisi,Didube-Chugureti,Chugureti,Chubinashvili st.,Old renovated,3,,1,,1,old building
675274,470000,dollar,,1,2017,700,1000,for_sale,private_house,Tbilisi,Vake-Saburtalo,Didi digomi,Agmashenebeli alley,Eurostandard,11,5,5,6,,new building
675271,Contract price,,,1,2017,200,200,for_rent,summer_house,Batumi,,,,,7,5,5,,,
675270,265,lari,month,1,2017,55,,for_rent,flat,Tbilisi,Old Tbilisi,Abanotubani,,Newly renovated,2,1,2,,1,new building
675269,85000,dollar,,1,2017,210,240,for_sale,private_house,Kobuleti,,,,,8,6,5,,,
675268,44000,dollar,,1,2017,51,,for_sale,flat,Batumi,,,,,2,1,1,1,11,
675261,67000,dollar,,1,2017,77,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Shevardenidze st,Newly renovated,3,2,1,1,7,old building
675254,Contract price,,,1,2017,24,,for_rent,commercial_estate,Tbilisi,Vake-Saburtalo,Saburtalo,M.Aleksidze st.,Newly renovated,1,,2,,1,new building
675251,45000,dollar,,1,2017,500,500,for_sale,private_house,Zugdidi,,,,Old renovated,12,5,3,,,old building
675249,28000,dollar,,1,2017,34,,for_sale,flat,Batumi,,,Vakhtang Gorgasali st.,Newly renovated,1,1,1,1,2,new building
675246,200,lari,month,1,2017,10,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Aslanidi st.,Old renovated,1,1,2,,1,old building
675243,Contract price,,,1,2017,50,,for_sale,flat,Tbilisi,Gldani-Nadzaladevi,Mukhiani,Noneishvili st.,Newly renovated,2,1,1,1,7,old building
675242,Contract price,,,1,2017,50,,for_sale,flat,Tbilisi,Gldani-Nadzaladevi,Mukhiani,Noneishvili st.,Newly renovated,2,1,1,1,7,old building
675235,Contract price,,,1,2017,,5000,for_sale,land,Gardabani,,,,,,,,,,
408364,220000,dollar,,1,2017,600,2300,for_sale,summer_house,Saguramo,,,,Eurostandard,7,4,3,2,,
408696,Contract price,,,1,2017,200,,for_sale,commercial_estate,Tbilisi,Old Tbilisi,,,Newly renovated,,,1,,,
278041,Contract price,,,1,2017,,1650,for_sale,land,Saguramo,,,,,,,,,,
371250,85000,dollar,,1,2017,132,,for_sale,flat,Tbilisi,Didube-Chugureti,Digomi,,W/o renovation,5,3,1,2,8,old building
203495,37900,dollar,,1,2017,31,,for_sale,flat,Gudauri,,,,Newly renovated,2,1,1,1,4,new building
256812,50,dollar,day,1,2017,,,for_lease_one,flat,Gudauri,,,,,2,1,1,1,5,
241884,350000,dollar,,1,2017,555,1035,for_sale,summer_house,Tbilisi,Didgori,Tskneti,,Old renovated,10,6,6,2,,old building
519445,17000,dollar,,1,2017,,500,for_sale,land,Tbilisi,Gldani-Nadzaladevi,Tbilisi sea,,,,,,,,
